unit,tra_meas,airp_pr\time	2017Q2 	2017Q1 	2017M06 	2017M05 	2017M04 	2017M03 	2017M02 	2017M01 	2016Q4 	2016Q3 	2016Q2 	2016Q1 	2016M12 	2016M11 	2016M10 	2016M09 	2016M08 	2016M07 	2016M06 	2016M05 	2016M04 	2016M03 	2016M02 	2016M01 	2016 
FLIGHT,CAF_PAS,ME_LYPG_AT_LOWW	283 	200 	100 	98 	85 	72 	64 	64 	259 	310 	290 	210 	68 	70 	121 	98 	106 	106 	102 	96 	92 	74 	68 	68 	1069 
FLIGHT,CAF_PAS,ME_LYPG_BE_EBCI	52 	52 	18 	16 	18 	18 	16 	18 	52 	52 	52 	52 	18 	16 	18 	18 	16 	18 	18 	18 	16 	18 	18 	16 	208 
FLIGHT,CAF_PAS,ME_LYPG_CH_LSZH	: 	: 	: 	: 	: 	: 	: 	: 	78 	148 	113 	60 	25 	22 	31 	42 	52 	54 	47 	36 	30 	20 	16 	24 	399 
FLIGHT,CAF_PAS,ME_LYPG_DE_EDDB	53 	52 	18 	17 	18 	18 	16 	18 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS,ME_LYPG_DE_EDDF	: 	: 	: 	: 	: 	: 	: 	: 	69 	125 	90 	57 	21 	16 	32 	38 	43 	44 	38 	26 	26 	18 	16 	23 	341 
FLIGHT,CAF_PAS,ME_LYPG_FR_LFPG	: 	: 	: 	: 	: 	: 	: 	: 	72 	186 	161 	54 	22 	16 	34 	48 	70 	68 	52 	70 	39 	18 	16 	20 	473 
FLIGHT,CAF_PAS,ME_LYPG_IT_LIRF	258 	157 	88 	84 	86 	58 	46 	53 	163 	202 	181 	156 	52 	49 	62 	62 	72 	68 	61 	62 	58 	54 	50 	52 	702 
FLIGHT,CAF_PAS,ME_LYPG_RS_LYBE	929 	875 	301 	320 	308 	306 	265 	304 	898 	930 	937 	864 	306 	284 	308 	304 	315 	311 	304 	325 	308 	305 	266 	293 	3629 
FLIGHT,CAF_PAS,ME_LYPG_RU_UUDD	: 	: 	: 	: 	: 	: 	: 	: 	8 	159 	65 	1 	2 	: 	6 	36 	57 	66 	58 	7 	: 	: 	1 	: 	233 
FLIGHT,CAF_PAS,ME_LYPG_SI_LJLJ	191 	151 	79 	62 	50 	52 	46 	53 	150 	158 	155 	153 	46 	52 	52 	52 	54 	52 	52 	52 	51 	54 	50 	49 	616 
FLIGHT,CAF_PAS,ME_LYPG_TR_LTBA	310 	156 	106 	104 	100 	66 	46 	44 	220 	310 	306 	158 	58 	58 	104 	102 	108 	100 	102 	106 	98 	62 	48 	48 	994 
FLIGHT,CAF_PAS,ME_LYPG_UK_EGSS	52 	54 	16 	18 	18 	18 	16 	20 	54 	52 	52 	54 	20 	16 	18 	16 	18 	18 	18 	18 	16 	18 	16 	20 	212 
FLIGHT,CAF_PAS,ME_LYTV_BY_UMMS	: 	: 	: 	: 	: 	: 	: 	: 	6 	176 	64 	: 	: 	: 	6 	56 	57 	63 	54 	8 	2 	: 	: 	: 	246 
FLIGHT,CAF_PAS,ME_LYTV_RS_LYBE	786 	410 	327 	241 	218 	163 	125 	122 	527 	1334 	833 	420 	149 	142 	236 	355 	485 	494 	366 	240 	227 	155 	128 	137 	3114 
FLIGHT,CAF_PAS,ME_LYTV_RU_ULLI	158 	: 	140 	16 	2 	: 	: 	: 	8 	368 	129 	2 	: 	: 	8 	104 	135 	129 	115 	12 	2 	: 	: 	2 	507 
FLIGHT,CAF_PAS,ME_LYTV_RU_UUDD	670 	140 	409 	169 	92 	51 	35 	54 	239 	1308 	611 	182 	60 	51 	128 	383 	463 	462 	374 	149 	88 	65 	48 	69 	2340 
FLIGHT,CAF_PAS,ME_LYTV_RU_UUEE	257 	110 	134 	63 	60 	46 	30 	34 	144 	422 	263 	172 	36 	46 	62 	138 	142 	142 	136 	66 	61 	58 	58 	56 	1001 
FLIGHT,CAF_PAS,ME_LYTV_RU_UUWW	104 	: 	84 	20 	: 	: 	: 	: 	: 	134 	44 	: 	: 	: 	: 	50 	46 	38 	42 	2 	: 	: 	: 	: 	178 
FLIGHT,CAF_PAS,ME_LYTV_UA_UKKK	: 	: 	: 	: 	: 	: 	: 	: 	4 	213 	72 	: 	: 	: 	4 	58 	79 	76 	53 	15 	4 	: 	: 	: 	289 
FLIGHT,CAF_PAS,ME_LYTV_UK_EGKK	: 	: 	: 	: 	: 	: 	: 	: 	27 	136 	60 	: 	: 	: 	27 	42 	44 	50 	40 	18 	2 	: 	: 	: 	223 
FLIGHT,CAF_PAS_ARR,ME_LYPG_AT_LOWW	142 	100 	50 	49 	43 	36 	32 	32 	130 	155 	145 	105 	34 	35 	61 	49 	53 	53 	51 	48 	46 	37 	34 	34 	535 
FLIGHT,CAF_PAS_ARR,ME_LYPG_BE_EBCI	26 	26 	9 	8 	9 	9 	8 	9 	26 	26 	26 	26 	9 	8 	9 	9 	8 	9 	9 	9 	8 	9 	9 	8 	104 
FLIGHT,CAF_PAS_ARR,ME_LYPG_CH_LSZH	: 	: 	: 	: 	: 	: 	: 	: 	38 	74 	56 	30 	12 	11 	15 	21 	26 	27 	23 	18 	15 	10 	8 	12 	198 
FLIGHT,CAF_PAS_ARR,ME_LYPG_DE_EDDB	26 	26 	9 	8 	9 	9 	8 	9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS_ARR,ME_LYPG_DE_EDDF	: 	: 	: 	: 	: 	: 	: 	: 	35 	62 	45 	29 	11 	8 	16 	19 	21 	22 	19 	13 	13 	9 	8 	12 	171 
FLIGHT,CAF_PAS_ARR,ME_LYPG_FR_LFPG	: 	: 	: 	: 	: 	: 	: 	: 	36 	93 	82 	27 	11 	8 	17 	24 	35 	34 	26 	36 	20 	9 	8 	10 	238 
FLIGHT,CAF_PAS_ARR,ME_LYPG_IT_LIRF	129 	79 	44 	42 	43 	29 	23 	27 	81 	101 	90 	78 	26 	24 	31 	31 	36 	34 	30 	31 	29 	27 	25 	26 	350 
FLIGHT,CAF_PAS_ARR,ME_LYPG_RS_LYBE	466 	442 	151 	161 	154 	153 	134 	155 	450 	465 	469 	434 	153 	143 	154 	152 	158 	155 	152 	163 	154 	153 	134 	147 	1818 
FLIGHT,CAF_PAS_ARR,ME_LYPG_RU_UUDD	: 	: 	: 	: 	: 	: 	: 	: 	4 	79 	33 	1 	1 	: 	3 	18 	28 	33 	29 	4 	: 	: 	1 	: 	117 
FLIGHT,CAF_PAS_ARR,ME_LYPG_SI_LJLJ	95 	75 	39 	31 	25 	25 	23 	27 	75 	79 	77 	77 	23 	26 	26 	26 	27 	26 	26 	26 	25 	27 	25 	25 	308 
FLIGHT,CAF_PAS_ARR,ME_LYPG_TR_LTBA	155 	78 	53 	52 	50 	33 	23 	22 	110 	155 	153 	79 	29 	29 	52 	51 	54 	50 	51 	53 	49 	31 	24 	24 	497 
FLIGHT,CAF_PAS_ARR,ME_LYPG_UK_EGSS	26 	27 	8 	9 	9 	9 	8 	10 	27 	26 	26 	27 	10 	8 	9 	8 	9 	9 	9 	9 	8 	9 	8 	10 	106 
