unit,tra_meas,airp_pr\time	2017Q2 	2017Q1 	2017M07 	2017M06 	2017M05 	2017M04 	2017M03 	2017M02 	2017M01 	2016Q4 	2016Q3 	2016Q2 	2016Q1 	2016M12 	2016M11 	2016M10 	2016M09 	2016M08 	2016M07 	2016M06 	2016M05 	2016M04 	2016M03 	2016M02 	2016M01 	2016 	2015Q4 	2015Q3 	2015Q2 	2015Q1 	2015M12 	2015M11 	2015M10 	2015M09 	2015M08 	2015M07 	2015M06 	2015M05 	2015M04 	2015M03 	2015M02 	2015M01 	2015 
FLIGHT,CAF_PAS,MK_LWSK_FR_LFSB	129 	134 	56 	42 	44 	43 	44 	37 	53 	133 	147 	131 	114 	44 	45 	44 	42 	48 	57 	44 	45 	42 	40 	34 	40 	525 	125 	130 	130 	107 	37 	44 	44 	42 	44 	44 	42 	44 	44 	38 	32 	37 	492 
FLIGHT,CAF_PAS,MK_LWSK_HR_LDZA	207 	172 	71 	69 	72 	66 	65 	48 	59 	186 	209 	208 	172 	57 	59 	70 	69 	70 	70 	68 	72 	68 	63 	53 	56 	775 	177 	210 	205 	182 	52 	61 	64 	68 	71 	71 	68 	70 	67 	64 	56 	62 	774 
FLIGHT,CAF_PAS,MK_LWSK_IT_LIME	: 	: 	: 	: 	: 	: 	: 	: 	: 	50 	50 	52 	54 	14 	18 	18 	16 	18 	16 	16 	18 	18 	18 	16 	20 	206 	56 	74 	52 	52 	22 	16 	18 	22 	26 	26 	18 	18 	16 	18 	16 	18 	234 
FLIGHT,CAF_PAS,MK_LWSK_IT_LIPH	: 	: 	: 	: 	: 	: 	: 	: 	: 	52 	54 	52 	50 	18 	18 	16 	18 	18 	18 	16 	18 	18 	16 	16 	18 	208 	52 	54 	52 	52 	18 	18 	16 	18 	18 	18 	16 	18 	18 	18 	16 	18 	210 
FLIGHT,CAF_PAS,MK_LWSK_IT_LIRF	: 	: 	: 	: 	: 	: 	: 	: 	: 	126 	181 	182 	154 	: 	61 	65 	58 	63 	60 	59 	63 	60 	54 	50 	50 	643 	157 	183 	182 	147 	50 	49 	58 	61 	62 	60 	61 	62 	59 	54 	42 	51 	669 
FLIGHT,CAF_PAS,MK_LWSK_NL_EHEH	: 	: 	: 	: 	: 	: 	: 	: 	: 	49 	52 	44 	52 	16 	15 	18 	18 	16 	18 	10 	18 	16 	18 	16 	18 	197 	50 	54 	52 	51 	16 	18 	16 	18 	18 	18 	16 	18 	18 	18 	16 	17 	207 
FLIGHT,CAF_PAS,MK_LWSK_NO_ENTO	: 	: 	: 	: 	: 	: 	: 	: 	: 	52 	54 	52 	50 	18 	18 	16 	18 	18 	18 	16 	18 	18 	16 	18 	16 	208 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS,MK_LWSK_RS_LYBE	221 	174 	124 	99 	62 	60 	58 	54 	62 	184 	341 	218 	158 	62 	59 	63 	95 	122 	124 	96 	62 	60 	62 	46 	50 	901 	178 	333 	215 	176 	58 	57 	63 	85 	124 	124 	93 	62 	60 	60 	57 	59 	902 
FLIGHT,CAF_PAS,MK_LWSK_SE_ESGG	78 	76 	32 	26 	26 	26 	26 	24 	26 	80 	78 	78 	58 	28 	26 	26 	26 	26 	26 	26 	26 	26 	20 	16 	22 	294 	84 	106 	78 	60 	26 	26 	32 	34 	36 	36 	26 	26 	26 	22 	16 	22 	328 
FLIGHT,CAF_PAS,MK_LWSK_SE_ESKN	: 	: 	: 	: 	: 	: 	: 	: 	: 	50 	52 	52 	52 	16 	16 	18 	16 	18 	18 	18 	18 	16 	18 	18 	16 	206 	50 	52 	52 	52 	14 	18 	18 	16 	18 	18 	18 	18 	16 	18 	16 	18 	206 
